CVE_id,CVSS,From,Upto,cpe,cwe,description,patch
CVE-2016-7053,7.5 HIGH,,,"[['1.1.0'], ['1.1.0a'], ['1.1.0b']]",CWE-476,"In OpenSSL 1.1.0 before 1.1.0c, applications parsing invalid CMS structures can crash with a NULL pointer dereference. This is caused by a bug in the handling of the ASN.1 CHOICE type in OpenSSL 1.1.0 which can result in a NULL value being passed to the structure callback if an attempt is made to free certain invalid encodings. Only CHOICE structures using a callback which do not handle NULL value are affected.",
CVE-2016-7054,7.5 HIGH,,,"[['1.1.0'], ['1.1.0a'], ['1.1.0b']]",CWE-284,"In OpenSSL 1.1.0 before 1.1.0c, TLS connections using *-CHACHA20-POLY1305 ciphersuites are susceptible to a DoS attack by corrupting larger payloads. This can result in an OpenSSL crash. This issue is not considered to be exploitable beyond a DoS.",https://www.openssl.org/news/secadv/20161110.txt
CVE-2017-3730,7.5 HIGH,,,"[['1.1.0'], ['1.1.0a'], ['1.1.0b'], ['1.1.0c']]",CWE-476,"In OpenSSL 1.1.0 before 1.1.0d, if a malicious server supplies bad parameters for a DHE or ECDHE key exchange then this can result in the client attempting to dereference a NULL pointer leading to a client crash. This could be exploited in a Denial of Service attack.","http://www.oracle.com/technetwork/security-advisory/cpujan2018-3236628.html,http://www.oracle.com/technetwork/security-advisory/cpuoct2017-3236626.html,https://github.com/openssl/openssl/commit/efbe126e3ebb9123ac9d058aa2bb044261342aaa,https://www.openssl.org/news/secadv/20170126.txt,https://www.oracle.com/technetwork/security-advisory/cpuapr2019-5072813.html"
CVE-2017-3733,7.5 HIGH,,,"[['1.1.0'], ['1.1.0a'], ['1.1.0b'], ['1.1.0c'], ['1.1.0d']]",CWE-20,During a renegotiation handshake if the Encrypt-Then-Mac extension is negotiated where it was not in the original handshake (or vice-versa) then this can cause OpenSSL 1.1.0 before 1.1.0e to crash (dependent on ciphersuite). Both clients and servers are affected.,
CVE-2016-7055,5.9 MEDIUM,"From (including),1.0.2,From (including),1.1.0","Up to (excluding),1.0.2k,Up to (excluding),1.1.0c","[[], []]",CWE-320,"There is a carry propagating bug in the Broadwell-specific Montgomery multiplication procedure in OpenSSL 1.0.2 and 1.1.0 before 1.1.0c that handles input lengths divisible by, but longer than 256 bits. Analysis suggests that attacks against RSA, DSA and DH private keys are impossible. This is because the subroutine in question is not used in operations with the private key itself and an input of the attacker's direct choice. Otherwise the bug can manifest itself as transient authentication and key negotiation failures or reproducible erroneous outcome of public-key operations with specially crafted input. Among EC algorithms only Brainpool P-512 curves are affected and one presumably can attack ECDH key negotiation. Impact was not analyzed in detail, because pre-requisites for attack are considered unlikely. Namely multiple clients have to choose the curve in question and the server has to share the private key among them, neither of which is default behaviour. Even then only clients that chose the curve will be affected.","http://www.oracle.com/technetwork/security-advisory/cpujan2018-3236628.html,http://www.oracle.com/technetwork/security-advisory/cpujul2017-3236622.html,http://www.oracle.com/technetwork/security-advisory/cpuoct2017-3236626.html,https://www.oracle.com/technetwork/security-advisory/cpuapr2019-5072813.html"
CVE-2017-3735,5.3 MEDIUM,,,"[['0.9.7j'], ['0.9.7k'], ['0.9.7l'], ['0.9.7m'], ['0.9.8'], ['0.9.8a'], ['0.9.8b'], ['0.9.8c'], ['0.9.8d'], ['0.9.8e'], ['0.9.8f'], ['0.9.8g'], ['0.9.8h'], ['0.9.8i'], ['0.9.8j'], ['0.9.8k'], ['0.9.8l'], ['0.9.8m'], ['0.9.8m'], ['0.9.8n'], ['0.9.8o'], ['0.9.8p'], ['0.9.8q'], ['0.9.8r'], ['0.9.8s'], ['0.9.8t'], ['0.9.8u'], ['0.9.8v'], ['0.9.8w'], ['0.9.8x'], ['0.9.8y'], ['0.9.8z'], ['0.9.8za'], ['0.9.8zb'], ['0.9.8zc'], ['0.9.8ze'], ['0.9.8zg'], ['1.0.0'], ['1.0.0'], ['1.0.0'], ['1.0.0'], ['1.0.0'], ['1.0.0'], ['1.0.0a'], ['1.0.0b'], ['1.0.0c'], ['1.0.0d'], ['1.0.0e'], ['1.0.0f'], ['1.0.0g'], ['1.0.0h'], ['1.0.0i'], ['1.0.0j'], ['1.0.0k'], ['1.0.0l'], ['1.0.0m'], ['1.0.0n'], ['1.0.0o'], ['1.0.0p'], ['1.0.0q'], ['1.0.0r'], ['1.0.0s'], ['1.0.1'], ['1.0.1'], ['1.0.1'], ['1.0.1'], ['1.0.1a'], ['1.0.1b'], ['1.0.1c'], ['1.0.1d'], ['1.0.1e'], ['1.0.1f'], ['1.0.1g'], ['1.0.1h'], ['1.0.1i'], ['1.0.1j'], ['1.0.1k'], ['1.0.1l'], ['1.0.2'], ['1.0.2'], ['1.0.2'], ['1.0.2'], ['1.0.2a'], ['1.0.2b'], ['1.0.2c'], ['1.0.2d'], ['1.0.2e'], ['1.0.2f'], ['1.0.2h'], ['1.0.2i'], ['1.0.2j'], ['1.0.2k'], ['1.0.2l'], ['1.1.0'], ['1.1.0a'], ['1.1.0b'], ['1.1.0c'], ['1.1.0d'], ['1.1.0e'], ['1.1.0f']]",CWE-119,"While parsing an IPAddressFamily extension in an X.509 certificate, it is possible to do a one-byte overread. This would result in an incorrect text display of the certificate. This bug has been present since 2006 and is present in all versions of OpenSSL before 1.0.2m and 1.1.0g.",https://www.openssl.org/news/secadv/20170828.txt
CVE-2017-3736,6.5 MEDIUM,"From (including),1.0.2,From (including),1.1.0","Up to (excluding),1.0.2m,Up to (excluding),1.1.0g","[[], []]",CWE-200,"There is a carry propagating bug in the x86_64 Montgomery squaring procedure in OpenSSL before 1.0.2m and 1.1.0 before 1.1.0g. No EC algorithms are affected. Analysis suggests that attacks against RSA and DSA as a result of this defect would be very difficult to perform and are not believed likely. Attacks against DH are considered just feasible (although very difficult) because most of the work necessary to deduce information about a private key may be performed offline. The amount of resources required for such an attack would be very significant and likely only accessible to a limited number of attackers. An attacker would additionally need online access to an unpatched system using the target private key in a scenario with persistent DH parameters and a private key that is shared between multiple clients. This only affects processors that support the BMI1, BMI2 and ADX extensions like Intel Broadwell (5th generation) and later or AMD Ryzen.","http://www.oracle.com/technetwork/security-advisory/cpuapr2018-3678067.html,http://www.oracle.com/technetwork/security-advisory/cpujan2018-3236628.html,http://www.oracle.com/technetwork/security-advisory/cpujul2018-4258247.html,http://www.oracle.com/technetwork/security-advisory/cpuoct2018-4428296.html"
CVE-2016-8610,7.5 HIGH,"From (including),1.0.2","Up to (including),1.0.2h","[['0.9.8'], ['1.0.1'], [], ['1.1.0']]",CWE-400,"A denial of service flaw was found in OpenSSL 0.9.8, 1.0.1, 1.0.2 through 1.0.2h, and 1.1.0 in the way the TLS/SSL protocol defined processing of ALERT packets during a connection handshake. A remote attacker could use this flaw to make a TLS/SSL server consume an excessive amount of CPU and fail to accept connections from other clients.","https://bugzilla.redhat.com/show_bug.cgi?id=CVE-2016-8610,https://git.openssl.org/gitweb/?p=openssl.git;a=commit;h=af58be768ebb690f78530f796e92b8ae5c9a4401"
CVE-2017-3738,5.9 MEDIUM,,,"[['1.0.2'], ['1.0.2'], ['1.0.2'], ['1.0.2'], ['1.0.2a'], ['1.0.2b'], ['1.0.2c'], ['1.0.2d'], ['1.0.2e'], ['1.0.2f'], ['1.0.2g'], ['1.0.2h'], ['1.0.2i'], ['1.0.2j'], ['1.0.2k'], ['1.0.2l'], ['1.0.2m'], ['1.1.0'], ['1.1.0a'], ['1.1.0b'], ['1.1.0c'], ['1.1.0d'], ['1.1.0e'], ['1.1.0f'], ['1.1.0g']]",CWE-200,"There is an overflow bug in the AVX2 Montgomery multiplication procedure used in exponentiation with 1024-bit moduli. No EC algorithms are affected. Analysis suggests that attacks against RSA and DSA as a result of this defect would be very difficult to perform and are not believed likely. Attacks against DH1024 are considered just feasible, because most of the work necessary to deduce information about a private key may be performed offline. The amount of resources required for such an attack would be significant. However, for an attack on TLS to be meaningful, the server would have to share the DH1024 private key among multiple clients, which is no longer an option since CVE-2016-0701. This only affects processors that support the AVX2 but not ADX extensions like Intel Haswell (4th generation). Note: The impact from this issue is similar to CVE-2017-3736, CVE-2017-3732 and CVE-2015-3193. OpenSSL version 1.0.2-1.0.2m and 1.1.0-1.1.0g are affected. Fixed in OpenSSL 1.0.2n. Due to the low severity of this issue we are not issuing a new release of OpenSSL 1.1.0 at this time. The fix will be included in OpenSSL 1.1.0h when it becomes available. The fix is also available in commit e502cc86d in the OpenSSL git repository.",
CVE-2018-0733,5.9 MEDIUM,"From (including),1.1.0","Up to (including),1.1.0g",[[]],,"Because of an implementation bug the PA-RISC CRYPTO_memcmp function is effectively reduced to only comparing the least significant bit of each byte. This allows an attacker to forge messages that would be considered as authenticated in an amount of tries lower than that guaranteed by the security claims of the scheme. The module can only be compiled by the HP-UX assembler, so that only HP-UX PA-RISC targets are affected. Fixed in OpenSSL 1.1.0h (Affected 1.1.0-1.1.0g).",https://git.openssl.org/gitweb/?p=openssl.git;a=commitdiff;h=56d5a4bfcaf37fa420aef2bb881aa55e61cf5f2f
